D:/SA_Release_21062014/Scripts/Automation_N2E/Python/STC_Traffic/STC_Traffic-0004-txstreamresults.csv for periodic results

================== Periodic Results: TxStreamResults Record #1
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/2",0,0,0,0,0,0,0,
txstreamresults2,"",port2,"Port //2/3",0,0,0,0,0,0,0,

================== Periodic Results: TxStreamResults Record #2
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/2",0,0,0,0,0,0,0,
txstreamresults2,"",port2,"Port //2/3",0,0,0,0,0,0,0,

================== Periodic Results: TxStreamResults Record #3
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/2",0,0,0,0,0,0,0,
txstreamresults2,"",port2,"Port //2/3",0,0,0,0,0,0,0,

================== Periodic Results: TxStreamResults Record #4
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/2",0,0,0,0,0,0,0,
txstreamresults2,"",port2,"Port //2/3",0,0,0,0,0,0,0,

================== Periodic Results: TxStreamResults Record #5
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/2",0,0,0,0,0,0,0,
txstreamresults2,"",port2,"Port //2/3",0,0,0,0,0,0,0,

================== Periodic Results: TxStreamResults Record #6
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/2",0,0,0,0,0,0,0,
txstreamresults2,"",port2,"Port //2/3",0,0,0,0,0,0,0,

================== Periodic Results: TxStreamResults Record #7
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/2",0,0,0,0,0,0,0,
txstreamresults2,"",port2,"Port //2/3",0,0,0,0,0,0,0,

================== Periodic Results: TxStreamResults Record #8
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/2",0,0,0,0,0,0,0,
txstreamresults2,"",port2,"Port //2/3",0,0,0,0,0,0,0,

================== Periodic Results: TxStreamResults Record #9
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/2",0,0,0,0,0,0,0,
txstreamresults2,"",port2,"Port //2/3",0,0,0,0,0,0,0,

================== Periodic Results: TxStreamResults Record #10
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/2",0,0,0,0,0,0,0,
txstreamresults2,"",port2,"Port //2/3",0,0,0,0,0,0,0,

================== Periodic Results: TxStreamResults Record #11
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/2",0,0,0,0,0,0,0,
txstreamresults2,"",port2,"Port //2/3",0,0,0,0,0,0,0,

================== Periodic Results: TxStreamResults Record #12
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/2",0,0,0,0,0,0,0,
txstreamresults2,"",port2,"Port //2/3",0,0,0,0,0,0,0,

================== Periodic Results: TxStreamResults Record #13
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/2",0,0,0,0,0,0,0,
txstreamresults2,"",port2,"Port //2/3",0,0,0,0,0,0,0,

================== Periodic Results: TxStreamResults Record #14
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/2",0,0,0,0,0,0,0,
txstreamresults2,"",port2,"Port //2/3",0,0,0,0,0,0,0,

================== Periodic Results: TxStreamResults Record #15
ResultObject,ResultObjectName,ResultParent,ResultParentName,FrameCount,FrameRate,BitRate,ExpectedRxFrameCount,L1BitCount,L1BitRate,BitCount,

txstreamresults1,"",port1,"Port //2/2",0,0,0,0,0,0,0,
txstreamresults2,"",port2,"Port //2/3",0,0,0,0,0,0,0,

================== Periodic Results: TxStreamResults Record #16
